name,city,state,profile_url,services_offered
CA. HIRAM ZUBAIR  SHAIKH,Mumbai,Maharashtra,https://caconnect.icai.org/memberProfile/849/1,Foreign Trade International Tax
BANSHI JAIN & ASSOCIATES,Mumbai,Maharashtra,https://caconnect.icai.org/firmProfile/2528/2,Audit Business Advisory Certification Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Inbound / Outbound Services Indirect Tax International Tax Investment Advisory Startup advisory Valuation
JAIN VICKY & CO,Mumbai,Maharashtra,https://caconnect.icai.org/firmProfile/143/2,Audit Book-keeping Business Advisory Certification Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax International Tax Payroll Services Startup advisory
NISHA N HALDANKAR & CO,Mumbai,Maharashtra,https://caconnect.icai.org/firmProfile/406/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Inbound / Outbound Services Indirect Tax International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
S Y LODHA AND ASSOCIATES,Mumbai,Maharashtra,https://caconnect.icai.org/firmProfile/363/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP FEMA Foreign Trade Indirect Tax Information Technology Services International Tax Investment Advisory MSME Advisory Payroll Services Startup advisory Valuation"
RATHI RATHI AND CO,Mumbai,Maharashtra,https://caconnect.icai.org/firmProfile/3736/2,Audit Book-keeping Certification Corporate Laws and LLP Direct Taxes FEMA Foreign Trade Financial Advisory Forensic Accounting & Investigation Goods and Services Tax Indirect Tax International Tax Payroll Services Startup advisory Valuation Others
VIVEK V JAISWAL & ASSOCIATES,Mumbai,Maharashtra,https://caconnect.icai.org/firmProfile/278/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
N S GOKHALE & CO,Mumbai,Maharashtra,https://caconnect.icai.org/firmProfile/2525/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
ASHUTOSH KALAMKAR & ASSOCIATES,Mumbai,Maharashtra,https://caconnect.icai.org/firmProfile/647/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
G R A N D M A R K & ASSOCIATES LLP,Mumbai,Maharashtra,https://caconnect.icai.org/firmProfile/560/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory"
Uttam Abuwala Ghosh & Associates,Mumbai,Maharashtra,https://caconnect.icai.org/firmProfile/2690/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Taxes FEMA Foreign Trade Forensic Accounting & Investigation Goods and Services Tax Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
DHOKA BOTHRA & CO,Nagpur,Maharashtra,https://caconnect.icai.org/firmProfile/2343/2,Audit Foreign Trade Goods and Service Tax Indirect Tax
N S GOKHALE & CO,Nashik,Maharashtra,https://caconnect.icai.org/firmProfile/2525/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
G R A N D M A R K & ASSOCIATES LLP,Nashik,Maharashtra,https://caconnect.icai.org/firmProfile/560/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory"
N S GOKHALE & CO,Navi Mumbai,Maharashtra,https://caconnect.icai.org/firmProfile/2525/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
G R A N D M A R K & ASSOCIATES LLP,Panvel,Maharashtra,https://caconnect.icai.org/firmProfile/560/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory"
CA. ABHISHEK JAYANTILAL  JAIN,Pune,Maharashtra,https://caconnect.icai.org/memberProfile/4808/1,Business Advisory Foreign Trade
IRFAN BAGWAN & ASSOCIATES,Pune,Maharashtra,https://caconnect.icai.org/firmProfile/763/2,"Audit Business Advisory Charities, Trust and Not For Profit Foreign Trade Forensic Accounting & Investigation Investment Advisory MSME Advisory RERA Startup advisory"
RATHI RATHI AND CO,Pune,Maharashtra,https://caconnect.icai.org/firmProfile/3736/2,Audit Book-keeping Certification Corporate Laws and LLP Direct Taxes FEMA Foreign Trade Financial Advisory Forensic Accounting & Investigation Goods and Services Tax Indirect Tax International Tax Payroll Services Startup advisory Valuation Others
G R A N D M A R K & ASSOCIATES LLP,Pune,Maharashtra,https://caconnect.icai.org/firmProfile/560/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory"
