name,location,service,state,city,profile_url,services_offered
H B KALARIA & ASSOCIATES,"Professional City:
                                            Rajkot, RAJKOT, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Rajkot,https://caconnect.icai.org/firmProfile/1166/2,Audit Business Advisory Certification Foreign Trade
SAVALIYA BHATT & ASSOCIATES,"Professional City:
                                            Rajkot, RAJKOT, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Rajkot,https://caconnect.icai.org/firmProfile/115/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services International Tax Investment Advisory MSME Advisory RERA Startup advisory"
C Y S & CO,"Professional City:
                                            Surat, SURAT, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Surat,https://caconnect.icai.org/firmProfile/185/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Information Technology Services International Tax"
JAIN & DESAI,"Professional City:
                                            Ahmedabad
                                            Kolkata
                                            Pipariya
                                            ROURKELA
                                            Salem
                                            Surat, AHMEDABAD, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Surat,https://caconnect.icai.org/firmProfile/12/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
DHANANI & JAIN,"Professional City:
                                            Ahmedabad
                                            Mumbai
                                            Surat
                                            Vadodara, SURAT, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Surat,https://caconnect.icai.org/firmProfile/307/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
M R N P & CO LLP,"Professional City:
                                            Ahmedabad
                                            Bangalore
                                            Bhuj
                                            GANDHIDHAM
                                            Raipur
                                            Surat
                                            Vadodara, GANDHIDHAM, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Surat,https://caconnect.icai.org/firmProfile/1724/2,Audit Book-keeping Business Advisory Certification Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Information Technology Services International Tax Investment Advisory MSME Advisory Payroll Services Startup advisory
M R N P & CO LLP,"Professional City:
                                            Ahmedabad
                                            Bangalore
                                            Bhuj
                                            GANDHIDHAM
                                            Raipur
                                            Surat
                                            Vadodara, GANDHIDHAM, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Vadodara,https://caconnect.icai.org/firmProfile/1724/2,Audit Book-keeping Business Advisory Certification Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Information Technology Services International Tax Investment Advisory MSME Advisory Payroll Services Startup advisory
Y M SHAH & CO,"Professional City:
                                            Vadodara, VADODARA, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Vadodara,https://caconnect.icai.org/firmProfile/142/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services International Tax Investment Advisory MSME Advisory RERA Startup advisory Valuation"
DHANANI & JAIN,"Professional City:
                                            Ahmedabad
                                            Mumbai
                                            Surat
                                            Vadodara, SURAT, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Vadodara,https://caconnect.icai.org/firmProfile/307/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
S H M M & CO,"Professional City:
                                            Dehradun
                                            Delhi
                                            Faridabad
                                            Greater Noida
                                            Gurgaon
                                            NOIDA, FARIDABAD, HARYANA,   INDIA, INDIA",Foreign Trade,Haryana,Faridabad,https://caconnect.icai.org/firmProfile/411/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Insolvency International Tax MSME Advisory Payroll Services RERA Startup advisory Valuation"
VINITA JINDAL & CO,"Professional City:
                                            Faridabad, FARIDABAD, HARYANA,   INDIA, INDIA",Foreign Trade,Haryana,Faridabad,https://caconnect.icai.org/firmProfile/2810/2,Foreign Trade Goods and Services Tax
T N D & ASSOCIATES,"Professional City:
                                            Asansol
                                            Deoghar
                                            Jamtara
                                            Kolkata, JAMTARA, JHARKHAND,   INDIA, INDIA",Foreign Trade,Jharkhand,Ara,https://caconnect.icai.org/firmProfile/629/2,Audit Book-keeping Business Advisory Certification Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services Startup advisory Valuation
T N D & ASSOCIATES,"Professional City:
                                            Asansol
                                            Deoghar
                                            Jamtara
                                            Kolkata, JAMTARA, JHARKHAND,   INDIA, INDIA",Foreign Trade,Jharkhand,Deoghar,https://caconnect.icai.org/firmProfile/629/2,Audit Book-keeping Business Advisory Certification Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services Startup advisory Valuation
T N D & ASSOCIATES,"Professional City:
                                            Asansol
                                            Deoghar
                                            Jamtara
                                            Kolkata, JAMTARA, JHARKHAND,   INDIA, INDIA",Foreign Trade,Jharkhand,Jamtara,https://caconnect.icai.org/firmProfile/629/2,Audit Book-keeping Business Advisory Certification Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services Startup advisory Valuation
M Y RAMESHA & CO,"Professional City:
                                            Arasikere
                                            Bangalore
                                            Bellary
                                            Chikmagalur
                                            Chitradurga
                                            Davanagere
                                            Delhi
                                            Dharwad
                                            Erode
                                            Gadag
                                            Gulbarga
                                            Gundlupet
                                            Hassan
                                            Karwar
                                            Kasaragod
                                            Kolar
                                            Maddur
                                            Madhugiri
                                            Madikeri
                                            Madurai
                                            Magadi
                                            Malavalli
                                            Malur
                                            Mandya
                                            Mangalore
                                            Mysore, MYSURU, KARNATAKA,   INDIA, INDIA",Foreign Trade,Karnataka,Arasikere,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
CA. DASH PINAKI DUTTA,"Professional City:
                                            Bangalore, BENGALURU, KARNATAKA,   INDIA, INDIA",Foreign Trade,Karnataka,Bangalore,https://caconnect.icai.org/memberProfile/470/1,Audit Book-keeping Business Advisory Certification Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Insolvency International Tax Investment Advisory MSME Advisory Payroll Services Startup advisory
CA. SANGMESH PRABHU RAO YELSHATTI,"Professional City:
                                            Bangalore, BENGALURU, KARNATAKA,   INDIA, INDIA",Foreign Trade,Karnataka,Bangalore,https://caconnect.icai.org/memberProfile/301/1,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax Foreign Trade Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services International Tax MSME Advisory Payroll Services RERA Startup advisory"
MAHESH V & ASSOCIATES,"Professional City:
                                            Bangalore, BENGALURU, KARNATAKA,   INDIA, INDIA",Foreign Trade,Karnataka,Bangalore,https://caconnect.icai.org/firmProfile/317/2,"Audit Book-keeping Certification Charities, Trust and Not For Profit Cloud Accounting Direct Tax FEMA Foreign Trade Goods and Service Tax Inbound / Outbound Services Indirect Tax International Tax MSME Advisory Payroll Services Startup advisory Valuation"
C S N V & ASSOCIATES,"Professional City:
                                            Bangalore, BENGALURU, KARNATAKA,   INDIA, INDIA",Foreign Trade,Karnataka,Bangalore,https://caconnect.icai.org/firmProfile/660/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Information Technology Services Insolvency International Tax MSME Advisory Payroll Services RERA Startup advisory Valuation"
M Y RAMESHA & CO,"Professional City:
                                            Arasikere
                                            Bangalore
                                            Bellary
                                            Chikmagalur
                                            Chitradurga
                                            Davanagere
                                            Delhi
                                            Dharwad
                                            Erode
                                            Gadag
                                            Gulbarga
                                            Gundlupet
                                            Hassan
                                            Karwar
                                            Kasaragod
                                            Kolar
                                            Maddur
                                            Madhugiri
                                            Madikeri
                                            Madurai
                                            Magadi
                                            Malavalli
                                            Malur
                                            Mandya
                                            Mangalore
                                            Mysore, MYSURU, KARNATAKA,   INDIA, INDIA",Foreign Trade,Karnataka,Bangalore,https://caconnect.icai.org/firmProfile/717/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Foreign Trade Forensic Accounting & Investigation Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
VISHNU DAYA & CO LLP,"Professional City:
                                            Bangalore, BENGALURU, KARNATAKA,   INDIA, INDIA",Foreign Trade,Karnataka,Bangalore,https://caconnect.icai.org/firmProfile/3301/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Taxes FEMA Foreign Trade Forensic Accounting & Investigation Goods and Services Tax Indirect Tax Information Technology Services International Tax Payroll Services RERA Startup advisory Valuation Others"
S V R Y & CO,"Professional City:
                                            Bangalore, BENGALURU, KARNATAKA,   INDIA, INDIA",Foreign Trade,Karnataka,Bangalore,https://caconnect.icai.org/firmProfile/372/2,Audit Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Startup advisory Valuation
B K AGARWAL & CO,"Professional City:
                                            Bangalore, BENGALURU, KARNATAKA,   INDIA, INDIA",Foreign Trade,Karnataka,Bangalore,https://caconnect.icai.org/firmProfile/1554/2,Audit Book-keeping Business Advisory Certification Corporate Laws and LLP FEMA Foreign Trade Goods and Services Tax Indirect Tax International Tax Payroll Services RERA Startup advisory Valuation
